,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Bat,Terrestrial PAR,Terrestrial PAR mv,Underwater PAR,Underwater PAR mv,Chlorophyll,Chlorophyll mv,1m Temperature,1m DOSat,1m DO,3m Temperature,3m DOSat,3m DO,5m Temperature,5m DOSat,5m DO,7m Temperature,7m DOSat,7m DO,9m Temperature,9m DOSat,9m DO,11m Temperature,11m DOSat,11m DO,13m Temperature,13m DOSat,13m DO,AirTemp,RH,Rel. BP,WindSp,Max WindSp,WindDir,Wet Bulb Temp,Precip Type,RainInten,TotalRain,IntvRain,SolarRad,Head
m/d/y,V,µmol/s/m²,mV,µmol/s/m²,mV,µg/L,mV,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,hPa,m/s,m/s,Degree,C,,mm/h,mm,mm,W/m²,Degree
5/17/2017 11:00,12.2,763.284,3.041,234.533,0.991,1.962,19.617,23.27,65.1,5.56,12.71,105,11.2,11.74,103.5,11.29,11.38,104.4,11.48,11.18,104.5,11.55,10.93,101.6,11.29,10.74,104.2,11.64,22.7,43,999.6,3.1,6.4,37,14.9,60,0,0,0,1000,140
5/17/2017 11:15,12.3,1745.574,6.954,169.789,0.717,2.196,21.957,12.77,54.8,5.84,11.38,106.2,11.69,11.53,103.4,11.34,11.21,103.6,11.44,10.93,104,11.56,10.68,99.5,11.13,10.48,103.2,11.6,22.9,42,999.4,3.4,4.3,28,14.9,0,0,0,0,1000,140
5/17/2017 11:30,12.7,1679.012,6.689,494.661,2.09,2.078,20.777,12.48,42.8,4.59,11.38,104.9,11.54,11.59,103,11.28,11.24,102.6,11.32,10.93,103,11.46,10.67,97.2,10.87,10.43,101.7,11.43,22.9,45,999,3,5.3,341,15.4,0,0,0,0,1000,140
5/17/2017 11:45,12.7,1788.524,7.125,511.537,2.161,1.969,19.685,12.53,25.9,2.77,11.34,103.6,11.41,11.52,102.7,11.26,11.19,101.7,11.24,10.83,102.2,11.39,10.63,95,10.64,10.48,100.1,11.25,23,41,998.4,1.1,3.2,21,14.8,0,0,0,0,1000,140
5/17/2017 12:00,12.7,1764.763,7.03,389.404,1.645,2.053,20.526,12.39,13.9,1.49,11.37,102.3,11.25,11.57,102.4,11.21,11.2,100.9,11.14,10.88,101.2,11.27,10.57,92.9,10.42,10.58,98.7,11.06,23.3,43,998.1,2.2,2.8,299,15.4,0,0,0,0,1000,140
5/17/2017 12:15,12.8,1775.966,7.075,595.854,2.518,1.996,19.964,12.48,9.8,1.05,11.33,101,11.13,11.53,102.1,11.2,11.13,100.1,11.08,10.92,100.3,11.15,10.59,90.8,10.17,10.47,97.5,10.95,23.8,42,998,3.1,6.3,337,15.6,0,0,0,0,1000,140
5/17/2017 12:30,12.7,1773.17,7.064,416.63,1.76,2.038,20.382,12.27,8.1,0.88,11.4,99.8,10.98,11.59,101.7,11.14,11.29,99,10.92,10.87,99.5,11.08,10.59,88.8,9.95,10.47,96.1,10.8,24.2,42,998,3.1,4.6,344,15.9,0,0,0,0,1000,140
5/17/2017 12:45,12.7,1768.26,7.044,547.228,2.312,2.085,20.855,12.62,0.8,0.09,11.41,98.8,10.86,11.59,101.4,11.11,11.2,98.4,10.87,10.9,98.6,10.97,10.66,86.7,9.7,10.47,94.7,10.64,24.2,41,997.5,2.1,4.6,12,15.8,0,0,0,0,1000,140
5/17/2017 13:00,12.7,1749.175,6.968,493.4,2.085,1.95,19.498,12.55,0.9,0.09,11.41,97.8,10.75,11.59,101.1,11.07,11.24,97.5,10.76,10.96,97.8,10.86,10.59,84.9,9.52,10.45,93.4,10.5,24.9,40,997.1,4.2,5.2,17,16.2,0,0,0,0,1000,140
5/17/2017 13:15,12.7,1756.973,6.999,590.811,2.496,1.947,19.47,12.81,0,0,11.4,96.7,10.63,11.6,101.1,11.06,11.29,97.6,10.76,10.95,97.9,10.88,10.6,85.1,9.53,10.47,93.2,10.47,25.1,40,996.8,2.5,4.2,44,16.3,0,0,0,0,1000,140
5/17/2017 13:30,12.8,1747.529,6.962,381.856,1.613,1.985,19.851,12.78,0,0,11.46,95.6,10.49,11.6,100.9,11.05,11.24,97.9,10.8,10.89,98,10.91,10.66,85.1,9.52,10.46,93,10.45,26,39,996.9,3.5,5.7,55,16.8,0,0,0,0,1000,140
5/17/2017 13:45,12.8,1732.698,6.903,397.498,1.679,1.946,19.462,12.32,0,0,11.49,95.7,10.5,11.61,101,11.05,11.24,98,10.81,10.89,98.1,10.91,10.57,85.3,9.57,10.46,92.9,10.44,25.8,40,996.8,1.4,3.6,56,16.8,0,0,0,0,1000,140
5/17/2017 14:00,12.8,1674.757,6.672,411.287,1.738,2.007,20.074,12.62,0,0,11.44,96,10.55,11.61,101,11.05,11.25,98.1,10.83,10.9,98.2,10.92,10.56,85.3,9.56,10.46,92.9,10.44,26.3,38,996.8,2.6,5.5,47,16.9,0,0,0,0,1000,140
5/17/2017 14:15,12.8,1600.901,6.378,382.156,1.615,1.89,18.896,12.8,0.3,0.03,11.41,96.3,10.59,11.62,101.1,11.06,11.24,98.2,10.84,10.9,98.3,10.94,10.46,85.3,9.59,10.44,92.9,10.44,26.8,38,996.5,2.1,3.9,77,17.3,0,0,0,0,1000,140
5/17/2017 14:30,12.9,1556.277,6.2,407.813,1.723,1.938,19.375,12.82,3,0.32,11.48,96.5,10.59,11.62,101.1,11.06,11.22,98.3,10.86,10.91,98.4,10.94,10.45,85.3,9.59,10.44,92.6,10.42,26.8,39,996.3,2,6.3,13,17.4,0,0,0,0,1000,140
5/17/2017 14:45,12.8,1181.125,4.705,308.446,1.303,2.116,21.156,12.81,2,0.21,11.51,96.8,10.62,11.62,101.2,11.07,11.24,98.4,10.86,10.84,98.6,10.98,10.57,85.1,9.55,10.46,92.5,10.4,27.2,38,996.2,2.7,4.8,37,17.6,0,0,0,0,1000,140
5/17/2017 15:00,12.8,1350.055,5.378,340.434,1.438,1.923,19.232,12.81,2.7,0.28,11.51,97,10.64,11.62,101.3,11.08,11.22,98.5,10.87,10.88,98.7,10.98,10.55,85.2,9.56,10.5,92.6,10.4,27.7,38,995.8,3.8,5.8,31,17.8,0,0,0,0,1000,140
5/17/2017 15:15,12.8,1371.871,5.465,310.094,1.31,2.054,20.54,12.82,10.8,1.15,11.51,97.2,10.66,11.62,101.3,11.08,11.21,98.5,10.88,10.88,98.7,10.99,10.55,85.2,9.55,10.47,92.6,10.4,28.5,36,995.7,2.9,4.1,37,18.1,0,0,0,0,1000,140
5/17/2017 15:30,12.9,1344.323,5.355,355.784,1.503,2.053,20.535,12.92,6.2,0.66,11.49,97.4,10.68,11.62,101.3,11.08,11.13,98.7,10.92,10.9,98.7,10.98,10.53,85.2,9.56,10.5,92.6,10.4,28.3,36,995.4,2,3.4,159,17.9,0,0,0,0,1000,140
5/17/2017 15:45,12.9,1322.946,5.27,362.67,1.532,1.999,19.99,13.02,5.3,0.56,11.73,97.2,10.61,11.62,101.3,11.08,11.07,98.7,10.94,10.9,98.8,10.99,10.53,85.1,9.55,10.57,92.7,10.39,28.7,35,995.2,4.5,6.1,88,18.1,0,0,0,0,1000,140
5/17/2017 16:00,12.9,1207.327,4.81,311.144,1.315,2.076,20.764,13.29,4.8,0.5,11.77,97.4,10.62,11.62,101.4,11.09,11.05,98.7,10.94,10.9,98.9,11,10.56,84.9,9.52,10.47,92.8,10.43,29,35,995.1,3.9,6.7,96,18.3,0,0,0,0,1000,140
5/17/2017 16:15,12.8,1082.058,4.311,297.601,1.257,2.176,21.761,13.39,2.8,0.29,11.67,97.8,10.68,11.62,101.4,11.09,11.05,98.7,10.94,10.9,99,11.01,10.53,84.9,9.52,10.46,92.8,10.43,29.3,34,995,3.2,5.1,84,18.4,0,0,0,0,1000,140
5/17/2017 16:30,12.9,965.327,3.846,243.808,1.03,2.179,21.794,13.29,2.4,0.26,11.55,98.1,10.75,11.59,101.4,11.1,11.07,98.6,10.93,10.91,99.1,11.02,10.53,84.8,9.51,10.46,92.8,10.43,29.7,33,994.6,3.3,6.2,100,18.5,0,0,0,0,1000,140
5/17/2017 16:45,12.9,939.34,3.742,211.899,0.895,2.225,22.246,13.32,0,0,11.61,98.3,10.75,11.57,101.4,11.1,10.98,98.6,10.95,10.92,99.1,11.02,10.53,84.8,9.51,10.45,92.8,10.44,30,32,994.8,1.9,3.8,47,18.4,0,0,0,0,1000,140
5/17/2017 17:00,12.9,836.869,3.334,201.495,0.851,2.309,23.089,13.52,0,0,11.63,98.4,10.76,11.59,101.3,11.09,11.04,98.4,10.91,10.92,99.2,11.03,10.48,84.8,9.52,10.46,92.9,10.44,29.7,33,994.8,2.2,3.8,101,18.4,0,0,0,0,1000,140
5/17/2017 17:15,12.9,717.37,2.858,170.636,0.721,2.337,23.366,13.58,0,0,11.64,98.5,10.77,11.6,101.2,11.08,11.03,46.9,5.21,10.94,99.2,11.03,10.52,84.6,9.49,10.45,92.9,10.44,30.2,32,994.7,3.1,5,73,18.5,0,0,0,0,1000,140
5/17/2017 17:30,12.9,657.335,2.619,137.21,0.58,2.365,23.65,13.81,0,0,11.66,98.6,10.78,11.62,101.2,11.07,11.05,23.2,2.57,10.94,99.3,11.03,10.48,84.5,9.5,10.47,92.7,10.42,29.8,31,994.6,3.3,5.3,74,18.1,0,0,0,0,1000,140
5/17/2017 17:45,12.7,326.881,1.302,59.206,0.25,2.431,24.308,13.67,0,0,11.66,98.7,10.79,11.63,101.2,11.07,11.05,0,0,10.95,99.3,11.03,10.49,84.4,9.48,10.44,92.7,10.43,30.8,29,994.6,3.2,4,95,18.4,0,0,0,0,1000,140
5/17/2017 18:00,12.8,448.513,1.787,92.173,0.389,2.547,25.47,13.61,0,0,11.63,98.9,10.82,11.62,101.3,11.08,11.07,0,0,10.96,99.3,11.03,10.48,84.4,9.48,10.45,92.6,10.41,30.2,30,994.5,2.7,3.9,84,18.2,0,0,0,0,1000,140
5/17/2017 18:15,12.5,259.487,1.034,46.483,0.196,2.509,25.092,13.53,0,0,11.6,99,10.83,11.62,101.3,11.08,11.07,0,0,10.96,99.4,11.04,10.44,84.3,9.48,10.47,92.4,10.38,29.8,30,994.5,3.2,5.9,96,17.8,0,0,0,0,1000,140
5/17/2017 18:30,12.5,282.089,1.124,50.336,0.213,2.591,25.911,13.53,0,0,11.66,98.8,10.8,11.66,101.3,11.07,11.07,0,0,10.96,99.4,11.05,10.49,84.3,9.47,10.47,92.4,10.38,28.7,33,994.6,0.9,2.9,104,17.7,0,0,0,0,1000,140
5/17/2017 18:45,12.4,208.542,0.831,35.885,0.152,2.686,26.856,13.23,0,0,11.6,98.9,10.83,11.66,101.4,11.08,11.08,0,0,10.9,99.5,11.07,10.47,84.2,9.47,10.46,92.4,10.39,27.9,42,994.7,1,1.6,87,18.8,0,0,0,0,1000,140
5/17/2017 19:00,12.4,146.515,0.584,23.815,0.101,2.599,25.994,13.21,0,0,11.55,99,10.85,11.65,101.5,11.1,11.07,0,0,10.9,99.5,11.07,10.46,84.2,9.46,10.45,92.4,10.39,26.6,45,994.8,1.3,2.1,125,18.2,0,0,0,0,1000,140
5/17/2017 19:15,12.3,105.856,0.422,16.761,0.071,2.898,28.984,13.68,0,0,11.54,99,10.85,11.65,101.6,11.11,11.1,0,0,10.9,99.5,11.07,10.47,84.1,9.45,10.45,92.3,10.38,27.4,42,995.1,0.8,1.2,46,18.5,0,0,0,0,1000,140
5/17/2017 19:30,12.3,58.754,0.234,8.958,0.038,2.475,24.746,13.81,1.8,0.19,11.5,99,10.86,11.64,101.7,11.12,11.11,0,0,10.83,99.5,11.09,10.47,84,9.44,10.47,92.3,10.37,23.5,54,995,0.8,1.1,215,17.2,0,0,0,0,1000,140
5/17/2017 19:45,12.2,22.312,0.089,3.156,0.013,2.562,25.62,13.83,0,0,11.51,98.9,10.84,11.64,101.8,11.13,11.11,0,0,10.87,99.4,11.06,10.47,83.9,9.43,10.47,92.3,10.37,21.6,60,994.9,0.6,1.1,353,16.5,0,0,0,0,1000,140
5/17/2017 20:00,12.2,2.908,0.012,0.82,0.003,2.604,26.044,14.04,0,0,11.5,98.8,10.83,11.65,101.9,11.14,11.11,0,0,10.87,99.3,11.05,10.47,83.9,9.43,10.47,92.2,10.36,20.9,65,995,1.2,1.3,299,16.6,0,0,0,0,1000,140
5/17/2017 20:15,12.2,-1.216,-0.005,0.961,0.004,2.53,25.303,14.17,0,0,11.51,98.7,10.82,11.63,101.9,11.15,11.11,0,0,10.88,99.3,11.05,10.47,83.8,9.42,10.47,92.3,10.37,20,68,994.9,0.6,1.1,6,16.1,0,0,0,0,1000,140
5/17/2017 20:30,12.1,-3.666,-0.015,1.287,0.005,2.754,27.542,12.78,0,0,11.47,98.6,10.83,11.62,101.9,11.15,11.11,0,0,10.89,99.2,11.03,10.46,83.7,9.41,10.47,92.3,10.38,20.6,70,995,1.2,2.1,165,16.9,0,0,0,0,1000,140
5/17/2017 20:45,12.2,-3.881,-0.015,1.146,0.005,2.593,25.932,14.07,0,0,11.46,98.6,10.82,11.62,101.9,11.15,11.08,0,0,10.89,99.1,11.03,10.45,83.7,9.41,10.47,92.3,10.38,18.7,75,995.1,0.8,2.4,102,15.9,0,0,0,0,1000,140
5/17/2017 21:00,12.2,-3.479,-0.014,1.561,0.007,2.405,24.05,13.42,0,0,11.43,98.5,10.82,11.61,101.8,11.14,11.1,0,0,10.91,99,11.01,10.45,83.6,9.4,10.47,92.3,10.38,18.2,79,995.2,0.9,1.2,158,15.9,0,0,0,0,1000,140
5/17/2017 21:15,12.1,-3.881,-0.015,1.137,0.005,2.463,24.625,13.55,0,0,11.37,98.3,10.81,11.51,101.8,11.16,11.09,0,0,10.8,99.1,11.05,10.43,83.6,9.4,10.44,92.3,10.37,18.4,77,995.5,0.6,2.4,168,15.8,0,0,0,0,1000,140
5/17/2017 21:30,12.2,-4.18,-0.017,1.023,0.004,2.672,26.72,12.79,0,0,11.37,98,10.78,11.52,101.7,11.15,11.11,0,0,10.78,98.9,11.03,10.44,83.6,9.4,10.47,92.2,10.36,18.3,79,995.1,1.6,2.1,308,16,0,0,0,0,1000,140
5/17/2017 21:45,12.2,-4.32,-0.017,2.001,0.008,2.453,24.526,12.82,0,0,11.37,97.8,10.75,11.52,101.5,11.13,11.07,0,0,10.74,98.8,11.03,10.42,83.5,9.4,10.46,92.1,10.35,17.7,84,995.8,3.2,4.6,162,15.9,0,0,0,0,1000,140
5/17/2017 22:00,12.2,-4.629,-0.018,1.64,0.007,2.457,24.574,12.87,0,0,11.37,97.6,10.73,11.52,101.4,11.12,11.08,0,0,10.75,98.6,11.01,10.42,83.5,9.4,10.47,92.1,10.36,18.6,77,995.8,0.9,1.1,132,16,0,0,0,0,1000,140
5/17/2017 22:15,12.2,-4.358,-0.017,1.896,0.008,2.489,24.889,13.79,0,0,11.38,97.4,10.72,11.6,101.3,11.08,11.12,0,0,10.78,98.4,10.98,10.43,83.5,9.39,10.45,92.1,10.36,17.8,80,995.8,0.4,1.1,179,15.5,0,0,0,0,1000,140
5/17/2017 22:30,12.1,-4.058,-0.016,2.151,0.009,2.957,29.573,13.67,0,0,11.42,97.2,10.69,11.62,101.2,11.07,11.13,0,0,10.78,98.2,10.96,10.45,83.4,9.38,10.45,92,10.35,17.3,83,995.9,0.5,0.6,50,15.4,0,0,0,0,1000,140
5/17/2017 22:45,12.1,-4.591,-0.018,1.658,0.007,2.481,24.81,13.82,0,0,11.49,97,10.64,11.62,101.2,11.07,11.17,0,0,10.78,98.1,10.95,10.45,83.4,9.37,10.43,91.9,10.33,17,84,995.9,0.5,0.8,251,15.3,0,0,0,0,1000,140
5/17/2017 23:00,12,-4.657,-0.019,2.504,0.011,2.614,26.14,13.74,0,0,11.42,97,10.66,11.62,101.2,11.07,11.13,0,0,10.72,97.9,10.94,10.44,83.4,9.38,10.43,91.7,10.32,16.3,87,995.8,0.4,0.7,151,14.9,0,0,0,0,1000,140
5/17/2017 23:15,12.1,-4.965,-0.02,2.345,0.01,2.65,26.499,13.93,0,0,11.42,96.9,10.65,11.62,101.2,11.07,11.17,0,0,10.73,97.7,10.91,10.44,83.4,9.38,10.39,91.6,10.31,17,85,995.7,0.7,1.1,101,15.4,0,0,0,0,1000,140
5/17/2017 23:30,12.1,-4.086,-0.016,1.931,0.008,2.726,27.262,13.91,0,0,11.41,96.9,10.65,11.62,101.3,11.08,11.13,0,0,10.71,97.5,10.89,10.44,83.4,9.38,10.38,91.4,10.3,17.6,80,995.7,1.4,2.2,100,15.4,0,0,0,0,1000,140
5/17/2017 23:45,12.1,-4.33,-0.017,2.169,0.009,2.567,25.673,13.97,0,0,11.41,97,10.66,11.6,101.4,11.1,11.12,0,0,10.75,97.4,10.87,10.42,83.5,9.39,10.44,91.3,10.27,16.9,83,995.9,0.9,1.1,324,15.1,0,0,0,0,1000,140
5/18/2017 0:00,12,-4.657,-0.019,2.698,0.011,2.789,27.89,14,0,0,11.44,97,10.66,11.6,101.4,11.1,11.17,0,0,10.8,97.3,10.85,10.44,83.4,9.38,10.44,91.3,10.27,16.7,85,996.1,1.4,2,349,15.2,0,0,0,0,1000,140
5/18/2017 0:15,12,-4.741,-0.019,3.412,0.014,2.4,23.997,14.07,0,0,11.47,97,10.65,11.61,101.5,11.11,11.1,0,0,10.87,97.2,10.82,10.46,83.4,9.38,10.45,91.3,10.26,17.2,83,996,1.4,1.8,340,15.3,0,0,0,0,1000,140
5/18/2017 0:30,12.1,-4.816,-0.019,2.883,0.012,2.526,25.264,14.01,0,0,11.48,97.1,10.65,11.62,101.6,11.11,11.16,0,0,10.89,97.3,10.83,10.47,83.5,9.38,10.45,91.2,10.26,16.9,83,996.1,1.6,1.8,342,15,0,0,0,0,1000,140
5/18/2017 0:45,12,-4.339,-0.017,2.495,0.011,2.82,28.201,14.07,0,0,11.51,97.1,10.65,11.62,101.6,11.12,11.06,0,0,10.89,97.4,10.83,10.46,83.6,9.39,10.46,91.2,10.26,16.8,83,995.9,1.6,2.2,23,15,0,0,0,0,1000,140
5/18/2017 1:00,12,-4.358,-0.017,2.222,0.009,2.546,25.459,14.05,2.6,0.27,11.53,97.1,10.64,11.62,101.6,11.12,11.05,0,0,10.87,97.4,10.85,10.46,83.6,9.39,10.46,91.3,10.26,16.9,82,996.1,0.7,1.4,17,14.7,0,0,0,0,1000,140
5/18/2017 1:15,12,-4.666,-0.019,1.975,0.008,2.506,25.062,13.98,10.9,1.13,11.6,97.1,10.62,11.62,101.6,11.11,11.07,0,0,10.89,97.4,10.84,10.46,83.6,9.4,10.46,91.4,10.27,16.5,85,995.9,1.1,1.6,113,14.9,0,0,0,0,1000,140
5/18/2017 1:30,12,-3.881,-0.015,2.354,0.01,2.6,25.995,13.98,14.6,1.51,11.58,97.2,10.64,11.62,101.6,11.11,11.06,0,0,10.79,97.7,10.9,10.45,83.6,9.4,10.47,91.5,10.28,20.8,59,996,2.5,3.8,89,15.7,0,0,0,0,1000,140
5/18/2017 1:45,12,-3.432,-0.014,2.381,0.01,2.711,27.11,13.97,15.9,1.65,11.54,97.3,10.66,11.62,101.6,11.12,11.07,0,0,10.78,97.8,10.91,10.46,83.6,9.4,10.46,91.6,10.3,17.5,80,996.1,2.3,2.8,316,15.3,0,0,0,0,1000,140
5/18/2017 2:00,12,-4.376,-0.017,1.446,0.006,2.44,24.401,13.99,13.4,1.39,11.56,97.5,10.68,11.62,101.7,11.12,11.19,0,0,10.9,97.9,10.89,10.47,83.6,9.4,10.44,91.7,10.31,19.7,67,996.2,1.6,2.6,90,15.7,0,0,0,0,1000,140
5/18/2017 2:15,12,-3.123,-0.012,1.834,0.008,2.491,24.91,13.98,19.3,2,11.54,97.7,10.7,11.62,101.7,11.12,11.15,0,0,10.9,98,10.9,10.46,83.6,9.4,10.44,91.7,10.31,19,70,996,0.8,1.3,99,15.5,0,0,0,0,1000,140
5/18/2017 2:30,12,-3.75,-0.015,2.204,0.009,2.498,24.977,13.93,20.5,2.13,11.54,97.8,10.72,11.62,101.7,11.13,11.14,0,0,10.9,98.2,10.92,10.5,83.6,9.39,10.44,91.7,10.32,17.4,78,995.9,2.4,3.6,317,15,0,0,0,0,1000,140
5/18/2017 2:45,12,-4.124,-0.016,2.01,0.008,2.434,24.34,13.97,25,2.59,11.6,97.9,10.71,11.62,101.7,11.13,11.1,0,0,10.91,98.3,10.93,10.49,83.7,9.4,10.44,91.7,10.31,17,78,996.1,1.8,2.1,320,14.7,0,0,0,0,1000,140
5/18/2017 3:00,12,-4.274,-0.017,2.874,0.012,2.5,24.995,13.85,41.2,4.29,11.6,98,10.72,11.62,101.7,11.13,11.17,0,0,10.92,98.4,10.94,10.48,83.6,9.4,10.44,91.6,10.31,16.6,81,996,1.1,1.5,307,14.5,0,0,0,0,1000,140
5/18/2017 3:15,12,-4.638,-0.018,2.407,0.01,2.437,24.371,13.68,46.9,4.9,11.6,98.1,10.74,11.6,101.7,11.13,11.17,0,0,10.92,98.5,10.95,10.48,83.6,9.39,10.44,91.6,10.3,16.3,82,996.1,1.5,2,311,14.4,0,0,0,0,1000,140
5/18/2017 3:30,12,-4.872,-0.019,2.539,0.011,2.521,25.205,13.4,52.3,5.49,11.55,98.3,10.77,11.61,101.6,11.12,11.23,0,0,10.92,98.6,10.96,10.5,83.6,9.39,10.45,91.5,10.29,16.8,80,996.2,1.2,1.6,150,14.7,0,0,0,0,1000,140
5/18/2017 3:45,12,-4.984,-0.02,3.121,0.013,2.451,24.512,13.94,55.2,5.73,11.58,98.4,10.77,11.62,101.6,11.12,11.3,0,0,10.95,98.7,10.96,10.53,83.6,9.38,10.44,91.5,10.29,18.1,74,996.2,1.9,2.4,75,15.2,0,0,0,0,1000,140
5/18/2017 4:00,12,-4.124,-0.016,2.813,0.012,2.555,25.546,14.06,57,5.9,11.55,98.5,10.79,11.62,101.6,11.11,11.3,0,0,10.95,98.9,10.98,10.48,83.8,9.41,10.43,91.4,10.28,18.4,73,996.3,1.3,2.3,57,15.2,0,0,0,0,1000,140
5/18/2017 4:15,12,-3.815,-0.015,2.16,0.009,2.432,24.323,14.12,59.5,6.15,11.58,98.5,10.78,11.62,101.5,11.11,11.3,0,0,10.92,99,11.01,10.46,83.9,9.43,10.44,91.3,10.27,17.8,76,996.3,2,2.3,45,15.2,0,0,0,0,1000,140
5/18/2017 4:30,12,-3.797,-0.015,2.398,0.01,2.471,24.706,13.99,61.3,6.35,11.59,98.5,10.78,11.62,101.4,11.1,11.24,0,0,10.91,99,11.01,10.46,83.9,9.43,10.45,91.3,10.27,17,77,996.4,0.4,0.9,98,14.5,0,0,0,0,1000,140
5/18/2017 4:45,12,-3.993,-0.016,2.724,0.012,2.612,26.121,14.1,62.4,6.44,11.6,98.5,10.77,11.62,101.4,11.09,11.24,0,0,10.76,99,11.05,10.47,84,9.44,10.47,91.4,10.27,17.4,77,996.6,0.9,1.7,262,14.9,0,0,0,0,1000,140
5/18/2017 5:00,12,-1.562,-0.006,2.839,0.012,2.458,24.583,14.15,63.3,6.53,11.62,98.4,10.77,11.65,101.4,11.08,11.3,0,0,10.8,98.8,11.01,10.53,83.9,9.41,10.48,91.5,10.28,16.2,83,996.8,1.2,1.7,147,14.5,0,0,0,0,1000,140
5/18/2017 5:15,11.9,9.463,0.038,4.946,0.021,2.772,27.723,14.15,63.9,6.6,11.64,98.4,10.76,11.65,101.4,11.08,11.3,0,0,10.79,98.6,11,10.53,83.9,9.42,10.47,91.6,10.29,16,84,996.7,0.8,1.6,150,14.3,0,0,0,0,1000,140
5/18/2017 5:30,12,42.567,0.17,9.452,0.04,2.909,29.091,14.1,64.4,6.66,11.64,98.4,10.76,11.72,101.4,11.07,11.29,0,0,10.76,98.5,10.99,10.53,84,9.43,10.47,91.7,10.3,15.3,90,996.8,1.1,1.2,90,14.3,0,0,0,0,1000,140
5/18/2017 5:45,12,85.405,0.34,15.104,0.064,2.561,25.612,14.04,64.8,6.71,11.65,98.4,10.75,11.66,101.6,11.1,11.2,0,0,10.68,98.3,11,10.48,84,9.44,10.44,91.7,10.31,15.9,87,996.9,0.6,0.9,105,14.5,0,0,0,0,1000,140
5/18/2017 6:00,12.2,161.589,0.644,23.004,0.097,2.499,24.986,14.07,64.7,6.69,11.64,98.4,10.76,11.74,101.7,11.09,11.29,0,0,10.72,98,10.95,10.47,84,9.45,10.43,91.7,10.31,15.8,87,996.9,1.4,2.7,88,14.5,0,0,0,0,1000,140
5/18/2017 6:15,12.3,194.318,0.774,29.563,0.125,2.573,25.729,14.06,65.3,6.75,11.64,98.4,10.76,11.72,101.8,11.11,11.2,0,0,10.82,97.7,10.89,10.47,83.9,9.43,10.45,91.6,10.3,16.4,84,996.9,0.7,1.1,77,14.7,0,0,0,0,1000,140
5/18/2017 6:30,12.3,391.601,1.56,62.777,0.265,2.406,24.058,14.07,66.1,6.84,11.67,98.4,10.75,11.72,101.9,11.12,11.3,0,0,10.71,97.6,10.9,10.47,83.8,9.42,10.43,91.6,10.31,16.8,83,997.1,1,1.9,211,14.9,0,0,0,0,1000,140
5/18/2017 6:45,12.4,492.351,1.961,80.394,0.34,2.418,24.178,14.07,67,6.94,11.79,98.2,10.7,11.74,102,11.13,11.18,0,0,10.74,97.4,10.87,10.48,83.7,9.41,10.44,91.6,10.3,16.6,84,997.1,1.9,2.1,158,14.8,0,0,0,0,1000,140
5/18/2017 7:00,12.3,293.675,1.17,48.335,0.204,2.515,25.153,14,67.8,7.02,11.86,98.2,10.68,11.63,102.2,11.18,11.19,0,0,10.76,97.2,10.85,10.49,83.7,9.41,10.44,91.6,10.3,16.7,84,997.2,0.9,1.3,106,15,0,0,0,0,1000,140
5/18/2017 7:15,12.4,497.279,1.981,83.876,0.354,3.469,34.692,14.02,68.5,7.09,12.02,98,10.61,11.61,102.3,11.19,11.19,3.7,0.4,10.88,97.2,10.81,10.48,83.8,9.41,10.46,91.5,10.28,16.3,87,997.3,1,1.1,154,15,0,0,0,0,1000,140
5/18/2017 7:30,12.5,564.833,2.25,94.739,0.4,2.399,23.986,14.12,68.5,7.08,12.01,98.1,10.64,11.6,102.2,11.19,11.16,1,0.11,10.89,97.3,10.82,10.48,83.8,9.42,10.45,91.4,10.27,19.8,70,997.4,1.2,1.5,253,16.2,0,0,0,0,1000,140
5/18/2017 7:45,12.7,825.825,3.29,140.825,0.595,2.225,22.249,14.54,68.1,6.97,12.02,98.3,10.65,11.61,102.1,11.18,11.16,1.1,0.12,10.9,97.3,10.83,10.48,83.9,9.42,10.45,91.3,10.26,22.6,61,997.4,2.6,3.1,283,17.4,0,0,0,0,1000,140
